Exposure started time stamp,Exposure ended time stamp,Wavelength,Intensity
3849.4,5003849.4,485.10786823118491,-6
3849.4,5003849.4,485.53577086970205,5
3849.4,5003849.4,485.9636650477517,-1
3849.4,5003849.4,486.39155075956694,16
3849.4,5003849.4,486.81942799938207,24
3849.4,5003849.4,487.24729676143204,38
3849.4,5003849.4,487.67515703995178,59
3849.4,5003849.4,488.1030088291775,127
3849.4,5003849.4,488.53085212334372,255
3849.4,5003849.4,488.95868691668659,539
3849.4,5003849.4,489.386513203444,720
3849.4,5003849.4,489.814330977851,837
3849.4,5003849.4,490.24214023414544,873
3849.4,5003849.4,490.66994096656458,738
3849.4,5003849.4,491.09773316934633,522
3849.4,5003849.4,491.52551683672868,258
3849.4,5003849.4,491.95329196295029,95
3849.4,5003849.4,492.38105854224949,43
3849.4,5003849.4,492.8088165688664,25
3849.4,5003849.4,493.23656603703932,17
3849.4,5003849.4,493.66430694100887,17
3849.4,5003849.4,494.09203927501477,5
3849.4,5003849.4,494.519763033298,8
3849.4,5003849.4,494.94747821009895,11
3849.4,5003849.4,495.37518479965945,18
3849.4,5003849.4,495.80288279622022,43
3849.4,5003849.4,496.23057219402375,31
3849.4,5003849.4,496.65825298731244,38
3849.4,5003849.4,497.08592517032821,59
3849.4,5003849.4,497.513588737315,63
3849.4,5003849.4,497.94124368251522,94
3849.4,5003849.4,498.368890000173,135
3849.4,5003849.4,498.7965276845315,196
3849.4,5003849.4,499.22415672983652,252
3849.4,5003849.4,499.65177713033142,328
3849.4,5003849.4,500.0793888802624,416
3849.4,5003849.4,500.50699197387365,571
3849.4,5003849.4,500.93458640541155,713
3849.4,5003849.4,501.36217216912235,950
3849.4,5003849.4,501.78974925925235,1145
3849.4,5003849.4,502.21731767004803,1380
3849.4,5003849.4,502.64487739575668,1604
3849.4,5003849.4,503.07242843062653,1845
3849.4,5003849.4,503.4999707689044,2037
3849.4,5003849.4,503.927504404839,2112
3849.4,5003849.4,504.35502933267895,2138
3849.4,5003849.4,504.78254554667296,2211
3849.4,5003849.4,505.21005304107047,2244
3849.4,5003849.4,505.63755181012124,2153
3849.4,5003849.4,506.06504184807426,1998
3849.4,5003849.4,506.4925231491813,2002
3849.4,5003849.4,506.91999570769235,1949
3849.4,5003849.4,507.34745951785845,1810
3849.4,5003849.4,507.77491457393114,1747
3849.4,5003849.4,508.20236087016173,1642
3849.4,5003849.4,508.62979840080334,1608
3849.4,5003849.4,509.05722716010757,1577
3849.4,5003849.4,509.48464714232756,1496
3849.4,5003849.4,509.91205834171643,1444
3849.4,5003849.4,510.3394607525284,1463
3849.4,5003849.4,510.76685436901619,1395
3849.4,5003849.4,511.19423918543447,1325
3849.4,5003849.4,511.62161519603848,1303
3849.4,5003849.4,512.04898239508327,1287
3849.4,5003849.4,512.47634077682289,1250
3849.4,5003849.4,512.90369033551485,1208
3849.4,5003849.4,513.33103106541341,1173
3849.4,5003849.4,513.75836296077671,1183
3849.4,5003849.4,514.18568601586037,1115
3849.4,5003849.4,514.61300022492242,1097
3849.4,5003849.4,515.0403055822195,1078
3849.4,5003849.4,515.46760208201,1076
3849.4,5003849.4,515.89488971855224,1060
3849.4,5003849.4,516.32216848610528,1010
3849.4,5003849.4,516.74943837892692,1026
3849.4,5003849.4,517.17669939127779,1010
3849.4,5003849.4,517.60395151741659,998
3849.4,5003849.4,518.03119475160406,939
3849.4,5003849.4,518.45842908810039,902
3849.4,5003849.4,518.88565452116654,876
3849.4,5003849.4,519.31287104506339,893
3849.4,5003849.4,519.74007865405292,894
3849.4,5003849.4,520.16727734239748,876
3849.4,5003849.4,520.59446710435793,863
3849.4,5003849.4,521.02164793419854,790
3849.4,5003849.4,521.448819826181,794
3849.4,5003849.4,521.87598277456971,825
3849.4,5003849.4,522.3031367736279,772
3849.4,5003849.4,522.73028181762015,749
3849.4,5003849.4,523.15741790081029,752
3849.4,5003849.4,523.58454501746371,744
3849.4,5003849.4,524.0116631618456,728
3849.4,5003849.4,524.43877232822183,686
3849.4,5003849.4,524.86587251085791,696
3849.4,5003849.4,525.29296370402085,678
3849.4,5003849.4,525.72004590197662,709
3849.4,5003849.4,526.147119098993,687
3849.4,5003849.4,526.574183289337,686
3849.4,5003849.4,527.001238467277,623
3849.4,5003849.4,527.42828462708064,618
3849.4,5003849.4,527.85532176301706,664
3849.4,5003849.4,528.2823498693549,600
3849.4,5003849.4,528.709368940364,604
3849.4,5003849.4,529.13637897031367,610
3849.4,5003849.4,529.56337995347451,586
3849.4,5003849.4,529.99037188411626,549
3849.4,5003849.4,530.41735475651058,564
3849.4,5003849.4,530.84432856492856,576
3849.4,5003849.4,531.27129330364164,582
3849.4,5003849.4,531.69824896692126,548
